SNPS,MAPPED_GENE,DISEASE/TRAIT,P-VALUE,OR or BETA,95% CI (TEXT),STUDY ACCESSION,PUBMEDID
rs12496230,RPL21P41 - KBTBD8,Type 2 diabetes,4e-06,0.54,[0.30-0.78] unit increase,GCST002806,25760438
rs138306797,IGF2BP2 - TRA2B,Type 2 diabetes,3e-06,0.78,[0.47-1.09] unit increase,GCST002806,25760438
rs149049329,BCL6-AS1 - LINC01991,Type 2 diabetes,2e-06,0.71,[0.42-1.00] unit increase,GCST002806,25760438
rs11454281,LINC00355 - LGMNP1,Type 2 diabetes,9e-06,0.6,[0.33-0.87] unit increase,GCST002806,25760438
rs149358103,RPS27AP11 - LINC02541,Type 2 diabetes,5e-06,0.58,[0.33-0.83] unit increase,GCST002806,25760438
rs9478961,MTHFD1L - RNU6-300P,Type 2 diabetes,2e-07,0.44,[0.28-0.60] unit increase,GCST002806,25760438
rs7978895,LINC02461 - ADAMTS20,Type 2 diabetes,9e-06,0.14,[0.081-0.199] unit increase,GCST002806,25760438
rs79490558,GTF2F2 - TPT1,Type 2 diabetes,1e-06,0.31,[0.17-0.45] unit increase,GCST002806,25760438
rs78319313,LINC00348,Type 2 diabetes,3e-06,0.49,[0.27-0.71] unit increase,GCST002806,25760438
rs6506284,PPIAP14 - LINC01892,Type 2 diabetes,3e-06,0.32,[0.18-0.46] unit increase,GCST002806,25760438
